airport,date,plan,lanes_peak,lane_hours,cost,p95_wait,p95_wait_mc_halfwidth,mean_wait,max_wait,max_wait_mc_halfwidth,miss_share,miss_share_from_queueing,miss_share_mc_halfwidth,n_pax,meets_target
ATL,2026-06-07,optimised,42,572.0,91520.0,1.895977099260469,0.36087578483162985,0.46217205574517645,6.522825385834494,0.7545256321369722,0.08231409245123471,0.0016348074030227819,0.0006565522506943207,80964.56666666667,True
ATL,2026-06-07,rule_of_thumb,42,519.0,83040.0,3.4470628773874505,0.5733213484830172,1.154537198633512,23.636731377581206,12.654097505531364,0.08775633850292926,0.0069797929399590414,0.001654696895927707,80810.06666666667,True
ATL,2026-06-07,flat_feasible,40,920.0,147200.0,3.2485853373363414,0.726216628525285,0.4551604288508421,4.411565330053607,0.7812381076656619,0.08318162635584384,0.0030950817666163203,0.0009671633326948202,80988.56666666667,True
ATL,2026-06-07,peak_everywhere,42,966.0,154560.0,0.6796951913780521,0.14457794085013376,0.08378249603135836,1.5618526901653298,0.21562772194821359,0.08100262137199497,0.0001220848314212648,0.00039578391410356446,80871.56666666667,True
ATL,2026-06-08,optimised,41,580.0,92800.0,2.1286650673082064,0.24371477650063736,0.5209860154208046,5.500813050430044,0.6738872633685017,0.08286744327373426,0.0021764879014560938,0.0005832740812701877,81901.26666666666,True
ATL,2026-06-08,rule_of_thumb,41,524.0,83840.0,4.2975787566895,0.6939246481905612,1.7129521444148081,37.82422238379848,13.306970937651137,0.09260217584756618,0.011618263088512286,0.002942357556666236,81865.16666666667,True
ATL,2026-06-08,flat_feasible,39,897.0,143520.0,4.933427165161918,0.6330001629520055,0.7498243052555924,6.20164623593205,0.6559752160369341,0.08591185232628289,0.005045521362194448,0.0008716779481747478,81950.03333333334,True
ATL,2026-06-08,peak_everywhere,41,943.0,150880.0,0.9282287903284275,0.16581282204099354,0.1168338974187176,1.867862785401788,0.21374599939097297,0.08082165302450964,0.00021551362527768385,0.0002810267194646611,81912.7,True
ATL,2026-06-09,optimised,42,564.0,90240.0,1.7928165102810434,0.24586480707447375,0.43488110220153203,10.289366980092932,1.4307728155363553,0.08227737356754058,0.0014919878727232782,0.0006092547379073237,78420.53333333334,True
ATL,2026-06-09,rule_of_thumb,42,502.5,80400.0,4.014317341852515,0.6587224753384754,1.4047150302628484,35.06674066607867,12.66369113117555,0.08963807068451407,0.008972914964022756,0.0019360707596183817,78418.5,True
ATL,2026-06-09,flat_feasible,40,920.0,147200.0,1.8047088824981066,0.37896412054809997,0.24638244062403916,2.921881458241711,0.42427687463446734,0.0819516250530882,0.001350749408727037,0.0005704646919078415,78353.96666666666,True
ATL,2026-06-09,peak_everywhere,42,966.0,154560.0,0.49270828296224045,0.12098812984359211,0.06083900823734149,1.3149570952478427,0.2018900053973158,0.08100585610163556,6.15822572482665e-05,0.00034199063827319387,78446.76666666666,True
ATL,2026-06-10,optimised,42,556.0,88960.0,1.8661895152210906,0.23636533097079065,0.43133081093578857,4.891828108254697,0.7694671665036305,0.08204076432020693,0.001508753114890582,0.000595662277848117,77771.13333333333,True
ATL,2026-06-10,rule_of_thumb,41,499.0,79840.0,4.451732980359276,0.7090909955480124,1.7036367775892702,67.45160680954741,20.0603397960386,0.09183526685734768,0.01128191409837078,0.0027789628650461205,77930.06666666667,True
ATL,2026-06-10,flat_feasible,40,920.0,147200.0,1.7002670767089751,0.37235544065728976,0.2254431346984274,2.660730683985482,0.40984361298322186,0.08204993291751185,0.0012604325603305475,0.0006383437852637627,77871.46666666666,True
ATL,2026-06-10,peak_everywhere,42,966.0,154560.0,0.374877616809624,0.08507714470242529,0.04889466315450807,1.158206910486001,0.15160209114767803,0.0806058731223449,3.466504639662258e-05,0.0003588633427706475,77862.33333333333,True
ATL,2026-06-11,optimised,42,576.0,92160.0,1.872562607107884,0.1631092359661406,0.450436912088808,6.664303512033533,0.9224494442263524,0.08247386888691066,0.0015869867544808015,0.0004038848803149635,81296.2,True
ATL,2026-06-11,rule_of_thumb,42,520.0,83200.0,4.350834460770888,0.8468066304997597,1.6870162187287054,40.717396592497266,18.703416062176693,0.09236072374364487,0.011426540575888966,0.0028299302520468166,81296.96666666666,True
ATL,2026-06-11,flat_feasible,40,920.0,147200.0,2.311887297890871,0.4781073076280845,0.31136532109025683,3.341026481855003,0.5499125213037449,0.08285774623279697,0.0017839155302139303,0.0006774836923940129,81320.8,True
ATL,2026-06-11,peak_everywhere,42,966.0,154560.0,0.5279240630490315,0.15965943092814464,0.06499779782994759,1.3153244305837064,0.21655352237998057,0.0809052786701856,0.00010485090218223063,0.00030814129484102936,81331.03333333334,True
ATL,2026-06-12,optimised,41,572.0,91520.0,2.0546098061039135,0.29316526847142643,0.510890190422776,6.3639941768714055,0.7964236270181958,0.08291800886070005,0.002011863400136499,0.0008218670910861258,80339.86666666667,True
ATL,2026-06-12,rule_of_thumb,41,513.0,82080.0,4.451472157507274,1.00190215814265,1.6802177416510873,44.79873672607417,18.59106737007396,0.09211241544199364,0.011304574518950955,0.0029766566672221103,80291.43333333333,True
ATL,2026-06-12,flat_feasible,39,897.0,143520.0,2.7710812338953392,0.5154251480741319,0.3832189548991024,3.881176233750506,0.5481971002524734,0.08289322309494002,0.002342355595014023,0.000717819797971649,80283.66666666667,True
ATL,2026-06-12,peak_everywhere,41,943.0,150880.0,0.5438590548930227,0.18857434617517327,0.06880490171998815,1.3636047735904242,0.2804305645301138,0.0808837178182027,0.000185194710721306,0.00041234673626364474,80319.23333333334,True
ATL,2026-06-13,optimised,38,488.0,78080.0,2.043365112776829,0.2339781859784859,0.48341039354644405,5.491090710945664,0.7983948334258936,0.0825549267649493,0.001708139289461542,0.00047036887019176064,68558.16666666667,True
ATL,2026-06-13,rule_of_thumb,38,441.5,70640.0,4.554319367112712,0.9895901473831619,1.5767317819372402,13.096489323750026,4.482002804092712,0.09132538324454427,0.010599654768532037,0.003444180739768471,68578.56666666667,True
ATL,2026-06-13,flat_feasible,36,828.0,132480.0,3.297225421809895,0.6320740353822026,0.49111589724318605,4.350391398741997,0.6650047635363171,0.08387475973491175,0.003262050929414583,0.0008669277074867657,68660.43333333333,True
ATL,2026-06-13,peak_everywhere,38,874.0,139840.0,0.8885901032155888,0.2700651191324965,0.11778394540793759,1.7280351179391515,0.31713357574280493,0.08111431517720308,0.00039578003046188647,0.0005001150186481497,68603.23333333334,True
ATL,2026-06-20,optimised,37,480.0,76800.0,1.8674236594548357,0.21898258668828927,0.4432973738518717,5.733588666034472,1.0797243985172733,0.08224664862609048,0.0015226899881865075,0.0005618343130267136,67674.03333333334,True
ATL,2026-06-20,rule_of_thumb,37,436.5,69840.0,4.983288395276916,0.8957785783811815,1.5444884207083343,28.23434754861663,13.732417599630528,0.09114500888266538,0.010212939469097012,0.0019128812906381452,67843.03333333334,True
ATL,2026-06-20,flat_feasible,35,805.0,128800.0,3.65909340821156,0.7495289237379268,0.553694585002077,4.738225810325832,0.7845748108594542,0.08465310824716199,0.0038485955259657074,0.00109507721755404,67762.83333333333,True
ATL,2026-06-20,peak_everywhere,37,851.0,136160.0,0.7863359736071466,0.1918735032192099,0.08997548863162712,1.7079726971819904,0.2536331504773306,0.08085973564995776,0.00021564051570152943,0.0003829780979241055,67744.8,True
ATL,2026-06-26,optimised,41,584.0,93440.0,1.7138007177768533,0.22752984821861527,0.41932432508583856,6.500885998297741,0.9070835014941057,0.08240589756887289,0.001396586223582843,0.000550102500735529,82102.63333333333,True
ATL,2026-06-26,rule_of_thumb,41,526.5,84240.0,3.7842039534698833,0.5454999027495495,1.3426880623050779,24.362906306527954,13.093239959230798,0.08952509046053181,0.008837323271840685,0.0017541092380537185,82171.16666666667,True
ATL,2026-06-26,flat_feasible,39,897.0,143520.0,5.416562793487395,0.7956228900628204,0.8884966291133867,6.664661812080859,0.824985229688824,0.08714390378641353,0.006297549492678637,0.0011202632795837865,82118.83333333333,True
ATL,2026-06-26,peak_everywhere,41,943.0,150880.0,0.9603831406556477,0.1840385359895514,0.12622387251562514,2.024448941631306,0.3014190021940056,0.08107767374099498,0.00033069753587466286,0.0004379902510318056,82078.63333333333,True
BNA,2026-06-07,optimised,19,248.0,39680.0,2.5237709876014573,0.2643315701306231,0.5558037114063309,5.7901475247702034,1.0943246362709507,0.08360200645940656,0.0026892451184927202,0.0007001466664507199,33056.9,True
BNA,2026-06-07,rule_of_thumb,19,220.0,35200.0,4.303744684762345,0.5643248308210693,1.3748360591008013,8.006630767943031,1.4813856297103039,0.09008589198357582,0.008834624122351233,0.002138748013036468,33036.3,True
BNA,2026-06-07,flat_feasible,17,391.0,62560.0,5.418411930742067,0.8442317683443814,0.6927289277277429,7.2231747366342836,0.9840240067872555,0.08611192242671892,0.005220494700194742,0.001163755060959479,32999.2,True
BNA,2026-06-07,peak_everywhere,19,437.0,69920.0,0.656454629069805,0.16968066256225006,0.08070822387043602,1.8305649771285706,0.24090341994368467,0.08144645131367621,0.00019614109808875762,0.0004349456894026549,33026.26666666667,True
BNA,2026-06-08,optimised,17,248.0,39680.0,1.8965174145513861,0.2285939400081385,0.41330643705314984,4.72292774073696,0.5429059484090066,0.08286127209351515,0.0020241984688901954,0.0005838580891639513,32792.433333333334,True
BNA,2026-06-08,rule_of_thumb,17,219.5,35120.0,4.238930735207164,0.8187373074228131,1.2800268025327075,7.314190911660207,1.1283753436840376,0.08822650319745017,0.0074452283526067675,0.002357736317701187,32867.76666666667,True
BNA,2026-06-08,flat_feasible,15,345.0,55200.0,7.886019897379015,1.0180297887315006,1.2207028733742082,9.93283670233941,1.1071703123774732,0.08955607751485692,0.00882446286968921,0.0014143092104825549,32816.26666666667,True
BNA,2026-06-08,peak_everywhere,17,391.0,62560.0,0.7660377369147608,0.17717557451994276,0.1004003676026707,2.122899631990316,0.29319467087501005,0.08080092760995085,0.00025100791467686884,0.0004638328604145258,32832.1,True
BNA,2026-06-09,optimised,16,228.0,36480.0,2.810099444363433,0.5025479590536636,0.6114082683490304,5.5647869992009635,0.7867354119610901,0.08445472566599777,0.0033174658858476933,0.00122187579867603,30417.2,True
BNA,2026-06-09,rule_of_thumb,16,203.0,32480.0,4.8002248431753065,0.6283520869835507,1.4710304026239243,8.778455019391782,1.0113965863162253,0.09070622907457099,0.009702531813923028,0.002148551594552084,30432.766666666666,True
BNA,2026-06-09,flat_feasible,14,322.0,51520.0,10.627011590748346,1.2557600428759375,1.9297404516604721,12.861780191946956,1.4019367588648384,0.09610625567040239,0.015492900260306645,0.002195874767420434,30487.966666666667,True
BNA,2026-06-09,peak_everywhere,16,368.0,58880.0,1.2123784527764985,0.25343650254049577,0.15932456202957282,2.645280533450752,0.3496682105443788,0.08177765958169295,0.0006998450196113772,0.0007246241242605014,30459.733333333334,True
BNA,2026-06-10,optimised,17,232.0,37120.0,2.7415107431803234,0.564072850276285,0.6180243955879725,4.799447565263597,0.6375092033776596,0.08390146303702968,0.002942515206974631,0.0012917430619067125,30883.966666666667,True
BNA,2026-06-10,rule_of_thumb,17,206.0,32960.0,5.060139067297743,0.7824928818470894,1.6341869417229373,11.358616313819029,3.945270720078362,0.09242797294264019,0.011068016183086173,0.002081055901634355,30909.8,True
BNA,2026-06-10,flat_feasible,15,345.0,55200.0,5.845999406824974,0.8746823421252963,0.8750767544220931,7.788514945556047,0.9917802757969927,0.08686434244956344,0.006112328361318944,0.0013560560914099259,30906.466666666667,True
BNA,2026-06-10,peak_everywhere,17,391.0,62560.0,0.5999070793342327,0.11940689126512823,0.0797739636473634,1.822846204969405,0.20044396681159476,0.08085008765888009,0.00011549440271391848,0.0005049947217783069,30905.766666666666,True
BNA,2026-06-11,optimised,18,252.0,40320.0,2.251469535479204,0.3075051160839546,0.4898793439183528,4.609248049832727,0.5703102891577883,0.083978637309845,0.0024996119971787555,0.0008890632328757694,32541.5,True
BNA,2026-06-11,rule_of_thumb,18,216.5,34640.0,5.009679513032979,0.8375910366917059,1.5948961525307084,8.1681763404322,1.0141654035210297,0.09075444554325357,0.009889763034158517,0.0022364328111299674,32528.5,True
BNA,2026-06-11,flat_feasible,16,368.0,58880.0,7.94227806874313,1.0301804079632617,1.1484515868534173,10.062951314025794,1.1580046577455128,0.08929382637827903,0.008808283270750946,0.0014325550872244573,32531.433333333334,True
BNA,2026-06-11,peak_everywhere,18,414.0,66240.0,0.8360562636716486,0.1815526619941036,0.10664969694001643,2.324292729402678,0.28592064967093334,0.08129894706352753,0.00032311928883176956,0.0005859820943271794,32558.066666666666,True
BNA,2026-06-12,optimised,17,248.0,39680.0,1.6948427528029157,0.19339885939215204,0.3590554630133594,4.253115697880966,0.38314371324234525,0.0822585677404318,0.001370970541130139,0.0005983908330557027,32351.233333333334,True
