shift_minutes,yield_intercept,yield_slope,hourly_rmse,hourly_corr,hourly_mape_busy,airport
-15,0.7716415591867009,-0.35870967281596483,722.2692461270369,0.9419585816052403,25.10665138941207,ATL
-10,0.7710527019427394,-0.3435045641804496,690.4225072085045,0.9469783400302713,23.285080687971313,ATL
-5,0.7701654279152528,-0.3280480618012456,663.0289945768022,0.9511595010513804,21.560536882476594,ATL
0,0.7689936524287927,-0.31228234552319317,640.439169392549,0.9545220797721629,20.304207310776352,ATL
5,0.7675366337023427,-0.2961017664391881,623.0018408093107,0.9570808179273302,19.46487113614803,ATL
10,0.76579376565606,-0.27941274267305505,611.0184191515093,0.9588467292493728,19.628437309797146,ATL
15,0.7637683752253079,-0.2621353579153197,604.5510825911388,0.9598485680225339,20.899430579406168,ATL
20,0.7614609339607346,-0.24423435461224793,603.6080450242806,0.960101889897107,22.236261756767515,ATL
25,0.7588698370055982,-0.22577340426307102,608.3130787238412,0.9595826721330607,23.44328660581227,ATL
30,0.755983243851455,-0.2069092137417744,618.8245573235802,0.9582341991629666,24.461829039772457,ATL
35,0.7527948475587234,-0.18781181010771322,635.0306013015336,0.9560122002626646,25.363369234715844,ATL
40,0.749306063838376,-0.16862331976383255,656.5681018228347,0.9528900304843035,26.312647953083975,ATL
45,0.7455159958214093,-0.14944235421931001,682.9512632349384,0.9488486002825336,27.98367641930258,ATL
50,0.7414364444298,-0.13031501433611842,713.4843985119386,0.9439034013935549,29.808867707800214,ATL
55,0.7370962128854217,-0.11123960129564082,747.2264472533917,0.9381253576597559,31.732443527834835,ATL
60,0.7325271774785386,-0.09214612349621473,783.126788545433,0.9316309538900506,33.59535910245853,ATL
-15,0.7997780323715765,-0.4252793026833367,363.6411887621621,0.9053938233799891,23.921665867455346,BNA
-10,0.8001603906243222,-0.40582039765713485,357.07818722606237,0.9095403861790321,24.081142055128403,BNA
-5,0.8000394950302414,-0.38566716428953113,354.01556930675144,0.9116194064138532,24.363607442632933,BNA
0,0.7994452778886693,-0.36478972734353915,354.4511478979173,0.9116407499329202,24.656482247831665,BNA
5,0.798445333451665,-0.343215921450172,358.0984060784832,0.9097434843938452,25.070221835951333,BNA
10,0.7971250572446386,-0.32102591316002893,364.46329769880646,0.9061583523334652,25.576988017418063,BNA
15,0.7955557874206929,-0.2983478468084075,372.9973783146158,0.9011293336875513,26.19642679146277,BNA
20,0.7937873694536882,-0.27532203904368197,383.1986920308604,0.8948743486879077,26.855137213137535,BNA
25,0.791851606660094,-0.25217931879120165,394.7086176546714,0.8875371389287982,27.52366628807544,BNA
30,0.789769797459546,-0.22920936682844734,407.1925842315986,0.8792658679473524,28.155127088831744,BNA
35,0.7875500973943904,-0.20666118727935495,420.39032637301426,0.8701909499424997,28.697618094200696,BNA
40,0.7851938768833613,-0.18471596318313943,434.08797037477007,0.8604453289028071,29.252381779573327,BNA
45,0.7827087741064763,-0.16344795363137027,448.0955035891468,0.8501800034387167,29.935970349222636,BNA
50,0.7801100020214964,-0.14273248077178918,462.1798731398554,0.8396070858008421,31.014964748459374,BNA
55,0.777450640974518,-0.12247201337359659,475.9898812926011,0.8290515566389443,32.100720081197146,BNA
60,0.7748259942815764,-0.10268526311421192,489.1047875121774,0.8189112222243762,33.39325715816258,BNA
