airport,replications,p95_wait,mc_halfwidth,halfwidth_as_pct_of_estimate
ATL,5,1.2987041837226183,0.25958780396361236,19.988216502046477
ATL,10,1.604114314335297,0.35409811166466165,22.07436892123182
ATL,15,1.6212843404364532,0.27376265591137905,16.885542472931157
ATL,20,1.6180451396890365,0.23914314285613614,14.77975718910387
ATL,25,1.7653607236207176,0.2600099910877752,14.728434115974908
ATL,30,1.7138007177768533,0.22752984821861527,13.27633054756609
BNA,5,3.2856485753916993,1.2073551198306707,36.74632548572958
BNA,10,2.842301009364113,0.6842278927348908,24.073027117137325
BNA,15,2.666960787359098,0.5207349639014067,19.52540758640301
BNA,20,2.528874013731837,0.4231095137421746,16.731142454890254
BNA,25,2.486461864375247,0.3511426180577303,14.122179917123283
BNA,30,2.4230258501886244,0.3113185239355863,12.848336880572333
