airport,date,total_pax,peak_slot_start,peak_slot_pax,peak_slot_rate_per_hour,mean_slot_pax,peak_to_mean_slot,peak_hour,peak_hour_pax,mean_hour_pax,peak_to_mean_hour
ATL,2026-06-07,80916.00874677554,2026-06-07 08:00:00,560.3712629705589,6724.455155646707,293.173944734694,1.9113951735297061,2026-06-07 07:00:00,6608.368821157031,3518.087336816329,1.878398171643241
ATL,2026-06-08,81911.0939898422,2026-06-08 08:00:00,555.7178077378647,6668.6136928543765,296.77932605015286,1.8724950121490396,2026-06-08 07:00:00,6509.654392759604,3561.351912601835,1.8278604733571002
ATL,2026-06-09,78447.92132755854,2026-06-09 08:00:00,558.021920566006,6696.263046792072,284.23159901289324,1.963264895613148,2026-06-09 07:00:00,6461.951237205044,3410.779188154719,1.8945674524011193
ATL,2026-06-10,77833.89661738445,2026-06-10 08:05:00,553.321365041253,6639.856380495035,282.0068718021176,1.9620846878848932,2026-06-10 07:00:00,6377.7026694531205,3384.082461625411,1.8846179848672606
ATL,2026-06-11,81285.26708878079,2026-06-11 08:00:00,556.6200747019759,6679.440896423711,294.51183727819125,1.88997522084724,2026-06-11 07:00:00,6499.670571656758,3534.1420473382955,1.8391084694945754
ATL,2026-06-12,80300.11241828681,2026-06-12 08:05:00,547.7612554575957,6573.1350654911475,290.9424362981406,1.8827135100232761,2026-06-12 07:00:00,6344.121473253236,3491.309235577687,1.8171181769304117
ATL,2026-06-13,68613.94776449491,2026-06-13 07:10:00,506.8690535780869,6082.428642937042,248.6012600162859,2.0388836868521176,2026-06-13 07:00:00,6020.099411872894,2983.2151201954316,2.0179903792786202
ATL,2026-06-20,67745.18726003758,2026-06-20 08:00:00,488.4205485947823,5861.046583137388,245.45357702912167,1.9898693451790028,2026-06-20 07:00:00,5792.748052762988,2945.44292434946,1.9666814810347726
ATL,2026-06-26,82125.98233823011,2026-06-26 08:00:00,551.9262288319978,6623.114745983974,297.55790702257286,1.8548531758227769,2026-06-26 07:00:00,6491.241813670293,3570.694884270875,1.817921167743736
BNA,2026-06-07,33012.851624913084,2026-06-07 06:05:00,248.95458885038042,2987.455066204565,119.6117812496851,2.081355082662778,2026-06-07 06:00:00,2844.926669654435,1435.3413749962208,1.9820557807454868
BNA,2026-06-08,32842.72622819271,2026-06-08 06:05:00,224.76202513973678,2697.144301676841,118.99538488475619,1.888829767283939,2026-06-08 06:00:00,2553.966997224623,1427.9446186170744,1.788561659833888
BNA,2026-06-09,30440.62105454006,2026-06-09 06:00:00,215.93073850077076,2591.168862009249,110.29210527007268,1.9578077503554798,2026-06-09 05:00:00,2442.9160185507067,1323.5052632408722,1.845792447072503
BNA,2026-06-10,30898.098489139247,2026-06-10 05:55:00,222.8412986224146,2674.0955834689753,111.94963220702626,1.9905496269100604,2026-06-10 05:00:00,2531.990283079705,1343.3955864843151,1.8847689456133756
BNA,2026-06-11,32508.359821755283,2026-06-11 06:05:00,241.47833512904825,2897.740021548579,117.78391239766407,2.0501809645596163,2026-06-11 06:00:00,2731.44068000723,1413.4069487719685,1.9325224645176882
BNA,2026-06-12,32375.571061112118,2026-06-12 06:05:00,222.72408781669455,2672.6890538003345,117.30279369968159,1.8987108558293366,2026-06-12 06:00:00,2562.644900539976,1407.6335243961794,1.8205341490706908
BNA,2026-06-13,27475.71248421316,2026-06-13 05:55:00,228.12502236012452,2737.5002683214943,99.5496829138158,2.2915695528394764,2026-06-13 06:00:00,2540.920000888422,1194.5961949657897,2.1270116308726292
BNA,2026-06-21,33426.53264034059,2026-06-21 06:05:00,246.79264319108637,2961.511718293036,121.11062550848041,2.0377455913131706,2026-06-21 06:00:00,2838.4355284160515,1453.3275061017648,1.9530598000099357
BNA,2026-06-27,26988.52513127517,2026-06-27 05:55:00,233.51316170666695,2802.157940480003,97.7845113451999,2.388038335461087,2026-06-27 05:00:00,2618.202106993487,1173.4141361423985,2.231268591667757
