airport,date,scenario,plan,cost,p95_wait,p95_wait_mc_halfwidth,max_wait,miss_share,miss_share_from_queueing,meets_target
ATL,2026-06-26,as planned,optimised,93440.0,1.7138007177768533,0.22752984821861527,6.500885998297741,0.08240589756887289,0.001396586223582843,True
ATL,2026-06-26,as planned,rule_of_thumb,84240.0,3.7842039534698833,0.5454999027495495,24.362906306527954,0.08952509046053181,0.008837323271840685,True
ATL,2026-06-26,as planned,flat_feasible,143520.0,5.416562793487395,0.7956228900628204,6.664661812080859,0.08714390378641353,0.006297549492678637,True
ATL,2026-06-26,as planned,peak_everywhere,150880.0,0.9603831406556477,0.1840385359895514,2.024448941631306,0.08107767374099498,0.00033069753587466286,True
ATL,2026-06-26,as planned,optimised_plus10,102400.0,0.34847106341160633,0.035833063734064634,6.829615382488722,0.08083793035113405,0.00023118974392308025,True
ATL,2026-06-26,demand +10%,optimised,93440.0,40.11478931021256,2.0054764265607785,42.959705422694334,0.22793718787139258,0.1469979018694988,False
ATL,2026-06-26,demand +10%,rule_of_thumb,84240.0,995.1652656417593,68.13894780756212,2552.34811196729,0.47152339729520265,0.39082226255064056,False
ATL,2026-06-26,demand +10%,flat_feasible,143520.0,21.296888240427766,1.217240365459872,22.686712991559954,0.11714955788709171,0.036233715671155596,False
ATL,2026-06-26,demand +10%,peak_everywhere,150880.0,10.73710003138833,0.8160968345999307,12.118445105036526,0.09487706504881564,0.014514537189524893,True
ATL,2026-06-26,demand +10%,optimised_plus10,102400.0,2.1254416500463966,0.2442648437350622,8.66962023251654,0.08265950888542685,0.0020296320000869426,True
ATL,2026-06-26,service 15% slower,optimised,93440.0,77.12367647546554,2.5585281923576724,840.1954783986912,0.41900921964005783,0.3378154373597015,False
ATL,2026-06-26,service 15% slower,rule_of_thumb,84240.0,2404.93922870362,93.48177306746031,4059.3111202024115,0.6141217986151071,0.5332421747162542,False
ATL,2026-06-26,service 15% slower,flat_feasible,143520.0,32.51670481349502,1.152779655488689,34.06262359020657,0.14974619263164587,0.06866653018664194,False
ATL,2026-06-26,service 15% slower,peak_everywhere,150880.0,19.98203289508849,1.062511322479819,21.50333942279935,0.11406481397967352,0.033056218825257715,True
ATL,2026-06-26,service 15% slower,optimised_plus10,102400.0,9.565195481846617,1.276269171122203,12.247516201136413,0.1091440714848426,0.0283175646806306,True
ATL,2026-06-26,1 lane down 2h at peak,optimised,93440.0,2.5530258254540508,0.4328630628991216,7.060645292239399,0.08407490871341827,0.0030836870217838363,True
ATL,2026-06-26,1 lane down 2h at peak,rule_of_thumb,84240.0,5.431695344827718,0.9196351386392919,25.436119807594583,0.09616100880870383,0.01547678277206389,True
ATL,2026-06-26,1 lane down 2h at peak,flat_feasible,143520.0,6.950190773061169,0.9397776653220639,8.29449169177547,0.08878938398273968,0.007967784695020446,True
ATL,2026-06-26,1 lane down 2h at peak,peak_everywhere,150880.0,1.7736068930818447,0.4290977801743929,2.8120607434807465,0.08196738046279474,0.0011784809928259883,True
ATL,2026-06-26,1 lane down 2h at peak,optimised_plus10,102400.0,0.36287995854623056,0.04269367976007864,6.551451524750868,0.0808188624242548,0.00022990684503348448,True
