lanes,arrivals_per_hour,utilisation,sim_mean_wait,sim_mean_wait_mc_halfwidth,analytic_mean_wait,sim_p95_wait,sim_p95_wait_mc_halfwidth,analytic_p95_wait,mean_wait_error_pct,p95_wait_error_pct,mean_within_mc_interval
4,120.0,0.75,0.7386293174270111,0.04224474129997206,0.7641509433962268,3.3778761496271144,0.17697908725411138,3.481915839009297,-3.3398671021442783,-2.988001266905549,True
6,180.0,0.75,0.4045841034009051,0.02361151101698801,0.4216520758058297,2.050438893441251,0.129333299326026,2.1321575036346476,-4.047880559417516,-3.832672307467555,True
10,300.0,0.75,0.1880645814446017,0.014986792256558497,0.18396672013277804,1.1121468287460972,0.07694751321291737,1.0881344944466942,2.227501424641387,2.2067432309103463,True
14,460.0,0.8214285714285715,0.22838756092659968,0.017277319264806766,0.23147430180264453,1.19111028501788,0.07951664135778613,1.2259628870222246,-1.3335134189870534,-2.842875781419363,True
